timestamp,service,success,latency,error_code
2025-10-07 18:32:48,GDELT,0,0.009,
2025-10-07 18:32:48,FMP,0,0.008,
2025-10-07 18:32:50,GDELT,0,0.002,
2025-10-07 18:32:50,FMP,0,0.001,
2025-10-07 18:32:54,GDELT,0,0.002,
2025-10-07 18:32:54,FMP,0,0.003,
2025-10-07 18:33:02,GDELT,0,0.001,
2025-10-07 18:33:02,FMP,0,0.006,
2025-10-07 18:33:18,GDELT,0,0.003,
2025-10-07 18:33:18,FMP,0,0.001,
2025-10-07 18:33:19,GDELT,0,0.003,
2025-10-07 18:33:19,FMP,0,0.001,
2025-10-07 18:33:21,GDELT,0,0.003,
2025-10-07 18:33:21,FMP,0,0.002,
2025-10-07 18:33:25,GDELT,0,0.002,
2025-10-07 18:33:25,FMP,0,0.001,
2025-10-07 18:33:33,GDELT,0,0.002,
2025-10-07 18:33:33,FMP,0,0.011,
2025-10-07 18:33:49,GDELT,0,0.005,
2025-10-07 18:33:49,FMP,0,0.001,
2025-10-07 18:33:51,GDELT,0,0.005,
2025-10-07 18:33:51,FMP,0,0.002,
2025-10-07 18:33:53,GDELT,0,0.005,
2025-10-07 18:33:53,FMP,0,0.002,
2025-10-07 18:33:57,GDELT,0,0.005,
2025-10-07 18:33:57,FMP,0,0.002,
2025-10-07 18:34:05,GDELT,0,0.004,
2025-10-07 18:34:05,FMP,0,0.001,
2025-10-07 18:34:21,GDELT,0,0.006,
2025-10-07 18:34:21,FMP,0,0.002,
2025-10-07 18:34:25,GDELT,0,0.006,
2025-10-07 18:34:25,FMP,0,0.003,
2025-10-07 18:34:27,GDELT,0,0.006,
2025-10-07 18:34:27,FMP,0,0.003,
2025-10-07 18:34:31,GDELT,0,0.008,
2025-10-07 18:34:31,FMP,0,0.008,
2025-10-07 18:34:39,GDELT,0,0.006,
2025-10-07 18:34:39,FMP,0,0.003,
2025-10-07 18:36:07,FMP,0,0.005,
2025-10-07 18:36:07,GDELT,0,0.006,
2025-10-07 18:36:09,FMP,0,0.007,
2025-10-07 18:36:09,GDELT,0,0.006,
2025-10-07 18:36:13,FMP,0,0.007,
2025-10-07 18:36:13,GDELT,0,0.004,
2025-10-07 18:36:21,FMP,0,0.004,
2025-10-07 18:36:21,GDELT,0,0.005,
2025-10-07 18:36:37,GDELT,0,0.003,
2025-10-07 18:36:37,Finnhub,0,0.002,
2025-10-07 18:36:37,FMP,0,0.002,
2025-10-07 18:36:37,FMP,0,0.001,
2025-10-07 18:36:39,Finnhub,0,0.002,
2025-10-07 18:36:39,FMP,0,0.001,
2025-10-07 18:36:43,Finnhub,0,0.003,
2025-10-07 18:36:43,FMP,0,0.002,
2025-10-07 18:36:43,GDELT,0,0.002,
2025-10-07 18:36:45,GDELT,0,0.003,
2025-10-07 18:36:49,GDELT,0,0.003,
2025-10-07 18:36:51,FMP,0,0.003,
2025-10-07 18:36:57,GDELT,0,0.002,
2025-10-07 18:37:07,FMP,0,0.001,
2025-10-07 18:37:07,FMP,0,0.001,
2025-10-07 18:37:09,FMP,0,0.002,
2025-10-07 18:37:13,FMP,0,0.003,
2025-10-07 18:37:13,GDELT,0,0.002,
2025-10-07 18:37:13,Finnhub,0,0.001,
2025-10-07 18:37:15,Finnhub,0,0.006,
2025-10-07 18:37:19,Finnhub,0,0.002,
2025-10-07 18:37:19,GDELT,0,0.002,
2025-10-07 18:37:21,FMP,0,0.004,
2025-10-07 18:37:21,GDELT,0,0.001,
2025-10-07 18:37:25,GDELT,0,0.005,
2025-10-07 18:37:33,GDELT,0,0.003,
2025-10-07 18:37:37,FMP,0,0.002,
2025-10-07 18:37:37,FMP,0,0.002,
2025-10-07 18:37:39,FMP,0,0.003,
2025-10-07 18:37:43,FMP,0,0.005,
2025-10-07 18:37:49,GDELT,0,0.006,
2025-10-07 18:37:49,Finnhub,0,0.002,
2025-10-07 18:37:51,FMP,0,0.006,
2025-10-07 18:37:51,Finnhub,0,0.001,
2025-10-07 18:37:55,Finnhub,0,0.003,
2025-10-07 18:37:55,GDELT,0,0.001,
2025-10-07 18:37:57,GDELT,0,0.003,
2025-10-07 18:38:01,GDELT,0,0.001,
2025-10-07 18:39:35,FMP,0,0.278,403
2025-10-07 18:39:35,FMP,0,0.238,403
2025-10-07 18:39:35,FMP,0,0.153,403
2025-10-07 18:39:35,FMP,0,0.156,403
2025-10-07 18:39:36,GDELT,1,1.034,
2025-10-07 18:39:36,FMP,0,0.226,403
2025-10-07 18:39:36,FMP,0,0.298,403
2025-10-07 18:39:36,FMP,0,0.221,403
2025-10-07 18:39:36,FMP,0,0.197,403
2025-10-07 18:39:37,FMP,0,0.248,403
2025-10-07 18:39:37,FMP,0,0.158,403
2025-10-07 18:39:41,GDELT,1,1.227,
2025-10-07 18:39:45,GDELT,1,0.819,
2025-10-07 18:39:51,GDELT,1,1.321,
2025-10-07 18:39:59,GDELT,1,4.600,
2025-10-07 19:17:38,FMP,0,0.252,403
2025-10-07 19:17:38,FMP,0,0.156,403
2025-10-07 19:17:38,FMP,0,0.151,403
2025-10-07 19:17:38,FMP,0,0.139,403
2025-10-07 19:17:38,FMP,0,0.141,403
2025-10-07 19:17:39,FMP,0,0.148,403
2025-10-07 19:17:39,FMP,0,0.153,403
2025-10-07 19:17:39,FMP,0,0.168,403
2025-10-07 19:17:39,FMP,0,0.218,403
2025-10-07 19:17:39,FMP,0,0.170,403
2025-10-07 19:17:42,GDELT,1,4.233,
2025-10-07 19:17:44,GDELT,1,1.807,
2025-10-07 19:17:49,GDELT,1,1.641,
2025-10-07 19:17:53,GDELT,1,0.737,
2025-10-07 19:18:01,GDELT,1,3.768,
2025-10-07 19:26:56,FMP,0,0.205,403
2025-10-07 19:26:56,FMP,0,0.187,403
2025-10-07 19:26:56,FMP,0,0.323,403
2025-10-07 19:26:56,FMP,0,0.221,403
2025-10-07 19:26:57,FMP,0,0.223,403
2025-10-07 19:26:57,FMP,0,0.257,403
2025-10-07 19:26:57,FMP,0,0.256,403
2025-10-07 19:26:57,FMP,0,0.281,403
2025-10-07 19:26:58,FMP,0,0.239,403
2025-10-07 19:26:58,FMP,0,0.186,403
2025-10-07 19:26:58,GDELT,1,2.892,
2025-10-07 19:27:01,GDELT,1,1.018,
2025-10-07 19:27:07,GDELT,1,1.455,
2025-10-07 19:27:12,GDELT,1,1.017,
2025-10-07 19:27:16,GDELT,1,0.820,
2025-10-07 19:35:01,FMP,0,0.281,403
2025-10-07 19:35:01,FMP,0,0.187,403
2025-10-07 19:35:02,FMP,0,0.426,403
2025-10-07 19:35:02,GDELT,1,0.914,
2025-10-07 19:35:02,FMP,0,0.195,403
2025-10-07 19:35:02,FMP,0,0.254,403
2025-10-07 19:35:03,FMP,0,0.217,403
2025-10-07 19:35:03,FMP,0,0.195,403
2025-10-07 19:35:03,FMP,0,0.314,403
2025-10-07 19:35:03,FMP,0,0.223,403
2025-10-07 19:35:03,FMP,0,0.164,403
2025-10-07 19:35:07,GDELT,1,0.960,
2025-10-07 19:35:12,GDELT,1,0.825,
2025-10-07 19:35:17,GDELT,1,0.791,
2025-10-07 19:35:22,GDELT,1,0.646,
2025-10-07 19:48:43,FMP,0,0.207,403
2025-10-07 19:48:43,FMP,0,0.155,403
2025-10-07 19:48:43,FMP,0,0.156,403
2025-10-07 19:48:43,FMP,0,0.153,403
2025-10-07 19:48:43,GDELT,1,0.782,
2025-10-07 19:48:43,FMP,0,0.162,403
2025-10-07 19:48:44,FMP,0,0.175,403
2025-10-07 19:48:44,FMP,0,0.179,403
2025-10-07 19:48:44,FMP,0,0.194,403
2025-10-07 19:48:44,FMP,0,0.202,403
2025-10-07 19:48:44,FMP,0,0.151,403
2025-10-07 19:48:49,GDELT,1,1.062,
2025-10-07 19:48:54,GDELT,1,1.009,
2025-10-07 19:48:58,GDELT,1,0.879,
2025-10-07 19:49:03,GDELT,1,0.654,
2025-10-07 19:54:32,FMP,0,0.186,403
2025-10-07 19:54:32,FMP,0,0.158,403
2025-10-07 19:54:32,FMP,0,0.153,403
2025-10-07 19:54:32,FMP,0,0.180,403
2025-10-07 19:54:33,FMP,0,0.165,403
2025-10-07 19:54:33,GDELT,1,0.901,
2025-10-07 19:54:33,FMP,0,0.142,403
2025-10-07 19:54:33,FMP,0,0.138,403
2025-10-07 19:54:33,FMP,0,0.142,403
2025-10-07 19:54:33,FMP,0,0.144,403
2025-10-07 19:54:33,FMP,0,0.173,403
2025-10-07 19:54:37,GDELT,1,0.742,
2025-10-07 19:54:43,GDELT,1,0.798,
2025-10-07 19:54:47,GDELT,1,0.544,
2025-10-07 19:54:52,GDELT,1,0.673,
2025-10-07 19:58:58,FMP,0,0.262,403
2025-10-07 19:58:58,FMP,0,0.191,403
2025-10-07 19:58:58,GDELT,1,0.635,
2025-10-07 19:58:58,FMP,0,0.181,403
2025-10-07 19:58:59,FMP,0,0.181,403
2025-10-07 19:58:59,FMP,0,0.164,403
2025-10-07 19:58:59,FMP,0,0.166,403
2025-10-07 19:58:59,FMP,0,0.139,403
2025-10-07 19:58:59,FMP,0,0.157,403
2025-10-07 19:58:59,FMP,0,0.150,403
2025-10-07 19:59:00,FMP,0,0.155,403
2025-10-07 19:59:03,GDELT,1,0.643,
2025-10-07 19:59:08,GDELT,1,0.686,
2025-10-07 19:59:13,GDELT,1,0.557,
2025-10-07 19:59:18,GDELT,1,0.596,
2025-10-07 21:27:54,FMP,0,0.086,
2025-10-07 21:27:55,GDELT,1,0.793,
2025-10-07 21:27:56,FMP,0,0.136,403
2025-10-07 21:27:56,FMP,0,0.153,403
2025-10-07 21:27:57,FMP,0,0.271,403
2025-10-07 21:27:57,FMP,0,0.152,403
2025-10-07 21:27:57,FMP,0,0.175,403
2025-10-07 21:27:57,FMP,0,0.173,403
2025-10-07 21:27:57,FMP,0,0.134,403
2025-10-07 21:27:58,FMP,0,0.131,403
2025-10-07 21:27:58,FMP,0,0.152,403
2025-10-07 21:27:58,FMP,0,0.143,403
2025-10-07 21:28:00,GDELT,1,0.882,
2025-10-07 21:28:05,GDELT,1,0.703,
2025-10-07 21:28:10,GDELT,1,0.702,
2025-10-07 21:28:15,GDELT,1,0.706,
2025-10-07 21:30:06,FMP,0,0.231,403
